onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
92.60993	1.2079	92.60993	93.81783	95.82004	1.2079	1.79674999999999	COLOR	3	greencircle	green	circle	3	28	2	0.58885	LONG	2	1	INCONGRUENT	NOSWITCH	90.60993	93.82004	91.81783
96.81283	0.198519999999988	96.81283	97.01135	99.01355	0.198519999999988	1.08507999999999	C	1	redcircle	red	circle	4	5	1	0.88656	SHORT	1	1	CONGRUENT	NOSWITCH	94.81283	97.01355	95.01135
100.00637	0.215109999999996	100.00637	100.22148	102.2071	0.215109999999996	1.03408	COLOR	3	greencircle	green	circle	3	28	2	0.81897	SHORT	1	1	INCONGRUENT	NOSWITCH	98.00637	100.2071	98.22148
103.21653	1.19134	103.21653	104.40787	106.42657	1.19134	2.05335	SHAPE	4	greencircle	green	circle	3	5	1	0.86201	LONG	2	1	INCONGRUENT	SWITCH	101.21653	104.42657	102.40787
107.41939	1.19135	107.41939	108.61074	110.61297	1.19135	1.93261	S	2	greentriangle	green	triangle	1	28	2	0.74126	LONG	2	1	CONGRUENT	NOSWITCH	105.41939	108.61297	106.61074
111.60576	1.20788999999999	111.60576	112.81365	114.81583	1.20788999999999	1.90076999999999	SHAPE	4	greencircle	green	circle	3	5	1	0.69288	LONG	2	1	INCONGRUENT	NOSWITCH	109.60576	112.81583	110.81365
116.81801	0.198539999999994	116.81801	117.01655	119.01881	0.198539999999994	1.18151999999999	S	2	redcircle	red	circle	4	5	1	0.98298	SHORT	1	1	CONGRUENT	NOSWITCH	114.81801	117.01881	115.01655
121.02093	1.19138	121.02093	122.21231	124.21448	1.19138	1.72116	SHAPE	4	greentriangle	green	triangle	1	28	2	0.52978	LONG	2	1	CONGRUENT	NOSWITCH	119.02093	122.21448	120.21231
125.20731	0.215039999999988	125.20731	125.42235	127.42456	0.215039999999988	1.52256999999999	C	1	redtriangle	red	triangle	2	5	1	1.30753	SHORT	1	1	INCONGRUENT	SWITCH	123.20731	125.42456	123.42235
128.41734	1.19143000000001	128.41734	129.60877	131.61093	1.19143000000001	1.70614000000001	COLOR	3	redcircle	red	circle	4	5	1	0.51471	LONG	2	1	CONGRUENT	NOSWITCH	126.41734	129.61093	127.60877
132.62031	0.198550000000012	132.62031	132.81886	134.82102	0.198550000000012	1.32232000000001	C	1	greentriangle	green	triangle	1	28	2	1.12377	SHORT	1	1	CONGRUENT	NOSWITCH	130.62031	132.82102	130.81886
136.82317	0.182060000000007	136.82317	137.00523	139.02393	0.182060000000007	1.09899000000001	COLOR	3	greentriangle	green	triangle	1	28	2	0.91693	SHORT	1	1	CONGRUENT	NOSWITCH	134.82317	137.02393	135.00523
141.00953	1.20795999999999	141.00953	142.21749	144.21968	1.20795999999999	2.01738999999999	S	2	redtriangle	red	triangle	2	28	2	0.80943	LONG	2	1	INCONGRUENT	SWITCH	139.00953	142.21968	140.21749
146.22179	0.182109999999994	146.22179	146.4039	148.40598	0.182109999999994	1.63803999999999	SHAPE	4	greencircle	green	circle	3	5	1	1.45593	SHORT	1	1	INCONGRUENT	NOSWITCH	144.22179	146.40598	144.4039
149.41538	1.19132999999999	149.41538	150.60671	152.62548	1.19132999999999	2.02551999999999	S	2	greencircle	green	circle	3	5	1	0.83419	LONG	2	1	INCONGRUENT	NOSWITCH	147.41538	150.62548	148.60671
154.6111	1.20795000000001	154.6111	155.81905	157.82115	1.20795000000001	1.88815000000001	SHAPE	4	redcircle	red	circle	4	5	1	0.6802	LONG	2	1	CONGRUENT	NOSWITCH	152.6111	155.82115	153.81905
160.81618	0.198530000000005	160.81618	161.01471	163.01692	0.198530000000005	1.10026000000001	C	1	redcircle	red	circle	4	5	1	0.90173	SHORT	1	1	CONGRUENT	SWITCH	158.81618	161.01692	159.01471
165.01911	1.19131999999999	165.01911	166.21043	168.21262	1.19131999999999	1.80329999999999	COLOR	3	greentriangle	green	triangle	1	28	2	0.61198	LONG	2	1	CONGRUENT	NOSWITCH	163.01911	166.21262	164.21043
169.22201	1.19138999999998	169.22201	170.4134	172.41555	1.19138999999998	1.77567999999998	C	1	redtriangle	red	triangle	2	5	1	0.58429	LONG	2	1	INCONGRUENT	NOSWITCH	167.22201	170.41555	168.4134
173.40839	0.21511000000001	173.40839	173.6235	175.60909	0.21511000000001	1.38152000000001	SHAPE	4	greencircle	green	circle	3	5	1	1.16641	SHORT	1	1	INCONGRUENT	SWITCH	171.40839	173.60909	171.6235
178.62063	1.19144	178.62063	179.81207	181.8142	1.19144	1.74957	S	2	greencircle	green	circle	3	5	1	0.55813	LONG	2	1	INCONGRUENT	NOSWITCH	176.62063	179.8142	177.81207
182.82355	0.181969999999978	182.82355	183.00552	185.00775	0.181969999999978	1.04293999999998	COLOR	3	greentriangle	green	triangle	1	28	2	0.86097	SHORT	1	1	CONGRUENT	SWITCH	180.82355	183.00775	181.00552
187.00987	0.215180000000004	187.00987	187.22505	189.21064	0.215180000000004	1.44818	S	2	redcircle	red	circle	4	5	1	1.233	SHORT	1	1	CONGRUENT	SWITCH	185.00987	187.21064	185.22505
190.21998	0.198570000000018	190.21998	190.41855	192.42073	0.198570000000018	1.08731000000002	C	1	greencircle	green	circle	3	28	2	0.88874	SHORT	1	1	INCONGRUENT	SWITCH	188.21998	190.42073	188.41855
